ResNet18,ResNet50,vgg16,inception_v3,efficientnet_b0,DenseNet121,mobilenet_v2,inception_resnet_v2,inception_v4_timm,xception,vit_base_patch16_224,levit_384,convit_base,twins_svt_base,pit,Avg_Transfer,CNN_Avg,Trans_Avg,Exp_Type,Param_Val,Source_File
89.4,97.9,87.2,76.4,85.5,90.8,85.5,63.3,71.9,65.6,8.8,62.2,16.8,45.0,43.4,63.699999999999996,79.51111111111112,35.24,SFM_Decay,0.8,DDM_CFD_SFM_hyperparams/SFM_decay_0.8.txt
88.6,97.7,87.6,75.8,84.4,89.0,86.1,62.1,71.3,65.8,8.1,61.0,17.0,44.4,42.1,63.09285714285714,78.96666666666665,34.519999999999996,SFM_Step,0.5,DDM_CFD_SFM_hyperparams/SFM_step_0.5.txt
88.9,98.1,87.7,76.8,84.3,90.0,85.3,61.1,72.0,65.8,8.8,61.2,16.9,44.8,44.4,63.42857142857142,79.1,35.22,DDM,Enabled,DDM_CFD_SFM_hyperparams/DDM_Enabled.txt
89.7,97.8,87.8,75.6,85.3,90.3,85.7,60.9,70.8,63.5,8.1,58.9,15.2,43.5,40.8,62.57857142857142,78.84444444444443,33.3,SFM_Decay,1.2,DDM_CFD_SFM_hyperparams/SFM_decay_1.2.txt
88.9,98.1,87.7,76.8,84.3,90.0,85.3,61.1,72.0,65.8,8.8,61.2,16.9,44.8,44.4,63.42857142857142,79.1,35.22,SFM_Step,0.05,DDM_CFD_SFM_hyperparams/SFM_step_0.05.txt
88.9,98.1,87.7,76.8,84.3,90.0,85.3,61.1,72.0,65.8,8.8,61.2,16.9,44.8,44.4,63.42857142857142,79.1,35.22,SFM_Step,0.1,DDM_CFD_SFM_hyperparams/SFM_step_0.1.txt
89.0,97.5,87.6,77.1,84.2,91.2,85.4,63.3,70.9,66.7,7.1,60.6,17.9,44.2,40.9,63.29285714285715,79.4888888888889,34.14,DDM,Disabled,DDM_CFD_SFM_hyperparams/DDM_Disabled.txt
88.9,98.3,87.7,76.1,85.4,90.1,86.8,61.2,71.3,62.9,7.9,60.3,16.8,43.2,41.5,62.86428571428571,78.93333333333334,33.94,CFD,0.5,DDM_CFD_SFM_hyperparams/CFD_prob_0.5.txt
88.9,98.1,87.7,76.8,84.3,90.0,85.3,61.1,72.0,65.8,8.8,61.2,16.9,44.8,44.4,63.42857142857142,79.1,35.22,SFM_Decay,1.0,DDM_CFD_SFM_hyperparams/SFM_decay_1.0.txt
88.9,97.9,87.2,77.3,84.7,90.8,85.5,61.7,69.9,64.6,6.9,60.9,16.5,44.0,40.2,62.792857142857144,78.95555555555556,33.7,CFD,0.7,DDM_CFD_SFM_hyperparams/CFD_prob_0.7.txt
88.5,97.8,87.3,75.7,85.0,90.8,85.0,62.7,70.8,67.1,8.1,61.0,17.4,43.6,41.7,63.19285714285714,79.21111111111111,34.36,CFD,0.1,DDM_CFD_SFM_hyperparams/CFD_prob_0.1.txt
88.9,98.1,87.7,76.8,84.3,90.0,85.3,61.1,72.0,65.8,8.8,61.2,16.9,44.8,44.4,63.42857142857142,79.1,35.22,CFD,0.3,DDM_CFD_SFM_hyperparams/CFD_prob_0.3.txt
88.9,98.1,87.7,76.8,84.3,90.0,85.3,61.1,72.0,65.8,8.8,61.2,16.9,44.8,44.4,63.42857142857142,79.1,35.22,SFM_Step,0.2,DDM_CFD_SFM_hyperparams/SFM_step_0.2.txt
